beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name	odds_ratio
0.2319	Diseases of the circulatory system	I9_HYPTENSHR	Hypertensive heart and/or renal disease	0.0003565	I9_HYPTENSHR	Hypertensive heart and/or renal disease	Diseases of the circulatory system	1.26099362316084
0.234	Diseases of the circulatory system	I9_HYPTENSHD	Hypertensive Heart Disease	0.0007362	I9_HYPTENSHD	Hypertensive Heart Disease	Diseases of the circulatory system	1.26364449220778
0.7389	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_HAEMORRHAGE_NOT_ELSEW_CLASSIFIED	Haemorrhage, not elsewhere classified	0.0009151	R18_HAEMORRHAGE_NOT_ELSEW_CLASSIFIED	Haemorrhage, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	2.09363125300459
0.4618	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ELEVATED_BLOOD_GLUCOSE_LEVEL	Elevated blood glucose level	0.001082	R18_ELEVATED_BLOOD_GLUCOSE_LEVEL	Elevated blood glucose level	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.58692788590774
-0.3572	Diseases of the skin and subcutaneous tissue	L12_PILONIDALCYST	Pilonidal cyst	0.001356	L12_PILONIDALCYST	Pilonidal cyst	Diseases of the skin and subcutaneous tissue	0.699632557229581
0.1782	Diseases of the respiratory system	J10_CHRONRHINITIS	Chronic rhinitsi, nasopharyngitis and pharyngitis	0.001569	J10_CHRONRHINITIS	Chronic rhinitsi, nasopharyngitis and pharyngitis	Diseases of the respiratory system	1.19506431019715
-0.1784	Diseases of the digestive system	K11_DIAHER	Diaphragmatic hernia	0.001728	K11_DIAHER	Diaphragmatic hernia	Diseases of the digestive system	0.83660771346584
0.7012	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_LACK_EXPEC_NORMAL_PHYSIO_DEVELOPMENT	Lack of expected normal physiological development	0.001957	R18_LACK_EXPEC_NORMAL_PHYSIO_DEVELOPMENT	Lack of expected normal physiological development	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	2.01617066120153
0.4255	Diseases of the digestive system	K11_KELACROHN	Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)	0.001966	K11_KELACROHN	Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)	Diseases of the digestive system	1.53035540610388
1.0822	Diseases of the nervous system	G6_CERVROOT	Cervical root disorders	0.002129	G6_CERVROOT	Cervical root disorders	Diseases of the nervous system	2.95116497743108
-0.84	Injury, poisoning and certain other consequences of external causes	ST19_OPEN_WOUND_THORAX	Open wound of thorax	0.002657	ST19_OPEN_WOUND_THORAX	Open wound of thorax	Injury, poisoning and certain other consequences of external causes	0.43171052342908
-0.5147	Interstitial lung disease endpoints	VIRALPNEUMOKNOWN	Viral pneumonia (known virus, not influenza)	0.002692	VIRALPNEUMOKNOWN	Viral pneumonia (known virus, not influenza)	Interstitial lung disease endpoints	0.597679871686839
0.7459	Diseases of the musculoskeletal system and connective tissue	M13_BURSITISHIPOTH	Other bursitis of hip	0.00326	M13_BURSITISHIPOTH	Other bursitis of hip	Diseases of the musculoskeletal system and connective tissue	2.10833808563698
0.9909	Other	P16_HAEMORRHAGIC_HAEMATOL_DISORD_FETUS_NEWBO	Haemorrhagic and haematological disorders of fetus and newborn	0.00374	P16_HAEMORRHAGIC_HAEMATOL_DISORD_FETUS_NEWBO	Haemorrhagic and haematological disorders of fetus and newborn	Other	2.6936576736514
-0.2678	Mental and behavioural disorders	F5_ALZHDEMENT	Dementia in Alzheimer disease	0.003919	F5_ALZHDEMENT	Dementia in Alzheimer disease	Mental and behavioural disorders	0.76506077795826
0.4219	Diseases of the digestive system	K11_CD_STRICT	Crohn disease (strict definition, require KELA)	0.004004	K11_CD_STRICT	Crohn disease (strict definition, require KELA)	Diseases of the digestive system	1.5248560314556
